Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,49.840000,50.830002,48.779999,50.639999,48.608059,31932100
2020-05-28,51.000000,51.650002,50.049999,50.090000,48.080128,23530900
2020-05-29,51.400002,53.000000,51.060001,53.000000,50.873363,92646300
2020-06-01,52.820000,53.849998,52.500000,53.419998,51.276512,27152300
2020-06-02,53.799999,53.799999,53.000000,53.419998,51.276512,25602700
2020-06-03,53.900002,54.340000,53.380001,53.660000,51.506882,31584300
2020-06-04,53.720001,55.700001,53.520000,55.660000,53.426632,37638600
2020-06-05,56.389999,56.700001,54.340000,54.610001,52.418762,39799100
2020-06-08,54.980000,55.650002,53.980000,54.779999,52.581940,27456500
2020-06-09,54.160000,54.990002,54.119999,54.990002,52.783516,19860000
2020-06-10,54.910000,55.200001,53.759998,54.200001,52.025215,24321300
2020-06-12,53.709999,54.049999,51.980000,53.400002,51.257317,31223700
2020-06-15,52.500000,54.430000,52.130001,53.880001,51.718056,27425600
2020-06-16,55.490002,55.500000,54.220001,55.389999,53.167465,29329400
2020-06-17,55.490002,56.439999,55.150002,56.200001,53.944965,27840000
2020-06-18,56.299999,56.540001,55.610001,56.169998,53.916164,25770000
2020-06-19,56.330002,56.599998,54.709999,55.169998,52.956291,38079900
2020-06-22,55.000000,55.349998,54.430000,55.000000,52.793114,14891400
2020-06-23,55.529999,56.560001,55.369999,55.590000,53.359440,18272700
2020-06-24,56.250000,56.259998,54.820000,55.389999,53.167465,18156600
2020-06-25,55.500000,56.150002,54.869999,56.000000,53.752991,17051900
2020-06-26,55.900002,56.950001,55.209999,55.619999,53.388237,21655500
2020-06-29,55.439999,55.910000,54.840000,55.630001,53.397835,15453400
2020-06-30,55.439999,56.540001,55.009998,55.919998,53.676197,27462900
2020-07-01,56.080002,56.080002,54.049999,54.540001,52.351574,28999400
2020-07-02,54.849998,55.740002,54.750000,55.490002,53.263454,24148500
2020-07-03,55.200001,55.700001,54.930000,55.259998,53.042679,7831800
2020-07-06,56.090000,56.740002,55.590000,56.570000,54.300117,23609900
2020-07-07,56.740002,56.980000,56.099998,56.369999,54.108143,13598400
2020-07-08,56.900002,57.720001,55.790001,57.320000,55.020023,32634600
2020-07-09,57.520000,57.680000,56.060001,56.419998,54.156136,19741600
2020-07-10,56.520000,57.299999,56.160000,56.970001,54.684071,14728100
2020-07-13,57.730000,59.220001,57.650002,57.650002,55.336784,28780200
2020-07-14,57.919998,61.970001,57.900002,61.700001,59.224277,52234500
2020-07-15,62.299999,62.930000,60.389999,61.790001,59.310665,29833100
2020-07-16,61.299999,61.689999,59.849998,60.119999,57.707672,22788400
2020-07-17,60.500000,61.250000,60.320000,61.040001,58.590759,18896400
2020-07-20,61.119999,61.490002,60.349998,60.799999,58.360386,16491500
2020-07-21,60.439999,60.480000,59.270000,59.700001,57.304527,29043600
2020-07-22,59.930000,60.250000,58.799999,59.240002,56.862984,19644700
2020-07-23,59.900002,60.160000,58.639999,58.849998,56.488632,17291900
2020-07-24,58.570000,58.849998,57.820000,58.599998,56.248661,22544100
2020-07-27,59.099998,61.630001,58.980000,61.369999,58.907516,35124800
2020-07-28,60.700001,61.160000,60.200001,60.340000,57.918846,21707500
2020-07-29,61.209999,62.950001,60.849998,62.950001,60.424118,29486600
2020-07-30,62.299999,62.369999,60.650002,61.270000,58.811531,32210700
2020-07-31,61.099998,62.209999,60.500000,60.709999,58.273998,26318800
2020-08-03,61.860001,62.669998,60.259998,60.259998,57.842052,35910500
2020-08-04,60.259998,60.840000,59.360001,60.700001,58.264400,182535800
2020-08-05,61.900002,62.900002,61.849998,62.189999,59.694614,36999600
2020-08-06,62.619999,62.880001,61.279999,61.830002,59.349060,22468400
