,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
235,REEM4,4.63,-0.48,-0.08,0.19699999999999998,0.0,0.13699999999999998,-0.14,-4.33,-0.07,-3.84,-6.01,-0.0454,-0.4065,0.45,0.0461,0.1578,0.0,-372708000.0,-0.0,-0.1359
236,CCXC3,1.16,-0.48,-0.04,0.0,0.0,0.185,0.0,-0.65,0.0,-0.52,-0.52,0.0,0.0,0.0,0.0,0.0785,0.0,-52699000.0,0.0,0.0
237,LUPA3,2.37,-0.47,1.53,-6.157,0.0,0.124,0.58,-1.69,-0.23,-6.22,-7.62,3.6337,12.810799999999999,2.34,-0.07690000000000001,-3.2635,1182470.0,40642000.0,4.41,-0.096
238,CEED4,70.0,-0.45,-0.13,0.198,0.0,0.175,-0.15,-1.93,-0.08,-4.58,-8.09,-0.1026,-0.4449,0.17,-0.11199999999999999,0.2867,896.15,-5305960000.0,-0.2,0.0701
239,MGEL4,8.24,-0.44,-0.1,0.092,0.0,0.115,0.36,0.97,-0.08,14.16,10.22,0.0944,-0.1954,2.01,0.21280000000000002,0.2228,163569.0,-481885000.0,-1.59,0.059699999999999996
240,RNEW3,4.51,-0.41,-0.14,3.1460000000000004,0.0,0.081,-0.06,-4.23,-0.05,-40.31,-58.54,-0.7444,-7.728,0.04,-0.024,0.3421,268529.0,-1351090000.0,-1.24,-0.3667
241,DOCA3,11.0,-0.4,-0.03,-3.0639999999999996,0.0,0.03,-0.32,-0.26,-0.02,-6.86,-6.76,11.6592,6.3617,0.61,-0.12480000000000001,0.0824,0.0,-390317000.0,-0.82,-0.38799999999999996
242,FGUI4,0.38,-0.39,-0.07,0.507,0.0,0.7979999999999999,-0.07,-1.83,-0.06,-14.24,-14.24,-0.2772,-1.29,0.04,-0.6074,0.1732,0.0,-222024000.0,-0.46,0.0213
243,RNEW11,12.51,-0.38,-0.13,2.909,0.0,0.075,-0.05,-3.91,-0.05,-40.0,-58.08,-0.7444,-7.728,0.04,-0.024,0.3421,1384690.0,-1351090000.0,-1.24,-0.3667
244,RNEW4,3.92,-0.35,-0.12,2.735,0.0,0.07,-0.05,-3.67,-0.05,-39.76,-57.74,-0.7444,-7.728,0.04,-0.024,0.3421,395297.0,-1351090000.0,-1.24,-0.3667
245,WISA4,0.25,-0.35,-0.01,0.21899999999999997,0.0,0.028999999999999998,-0.06,-0.31,-0.01,-19.27,-19.27,-0.7141,-0.6275,0.18,-0.0978,0.0239,0.0,-205386000.0,-0.52,-0.4866
246,PMAM3,9.75,-0.34,-1.18,0.106,0.0,0.102,-0.19,-4.15,-0.17,-33.15,60.13,-0.0255,-0.3106,0.46,-0.030600000000000002,3.4735,3910110.0,-357442000.0,-8.98,-0.0006
247,SNSY5,6.22,-0.34,-0.04,0.10300000000000001,0.0,0.125,-0.29,-0.81,-0.03,-2.53,-3.65,-0.1274,-0.3099,0.55,-0.1845,0.1075,296075.0,-1331340000.0,-0.08,0.0757
248,CEED3,52.5,-0.33,-0.1,0.149,0.0,0.131,-0.12,-1.45,-0.06,-4.1,-7.24,-0.1026,-0.4449,0.17,-0.11199999999999999,0.2867,28217.0,-5305960000.0,-0.2,0.0701
249,LETO3,0.8,-0.32,-0.05,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705,0.0,-58642000.0,0.0,-0.17379999999999998
250,HOOT4,2.7,-0.29,-0.12,0.919,0.0,0.106,-0.09,-0.32,-0.06,-0.3,-0.32,-2.8459,-3.1856999999999998,0.05,-0.3404,0.40979999999999994,28279.5,-419584000.0,-0.0,-0.2443
251,WISA3,0.2,-0.28,-0.01,0.175,0.0,0.023,-0.05,-0.25,-0.01,-19.21,-19.21,-0.7141,-0.6275,0.18,-0.0978,0.0239,0.0,-205386000.0,-0.52,-0.4866
